2,Alatoz,JOSE VICENTE,PICO,HERNANDEZ,13-06-2015,P.S.O.E.
2,Albacete,MANUEL RAMON,SERRANO,LOPEZ,05-07-2017,P.P.
2,Albatana,FRANCISCO JOSE,MANSILLA,PEREZ,13-06-2015,P.S.O.E.
2,Alborea,JOSE LUIS,VIDAL,AROCAS,13-06-2015,P.P.
2,Alcadozo,ANGEL,ALFARO,SANCHO,13-06-2015,P.P.
2,Alcalá del Júcar,PEDRO ANTONIO,GONZALEZ,JIMENEZ,13-06-2015,P.S.O.E.
2,Alcaraz,PEDRO JESUS,VALERO,MONTOYA,13-06-2015,P.S.O.E.
2,Almansa,FRANCISCO JAVIER,NUÑEZ,NUÑEZ,13-06-2015,P.P.
2,Alpera,CESAREA,ARNEDO,MEGIAS,13-06-2015,P.P.
2,Ayna,EMILIANO,RODRIGUEZ,MORENO,13-06-2015,P.S.O.E.
2,Balazote,FRANCISCO,BELMONTE,ROMERO,13-06-2015,P.S.O.E.
2,Balsa de Ves,NATIVIDAD,PEREZ,GARCIA,13-06-2015,P.S.O.E.
2,"Ballestero, El",VERONICA,GOMEZ,GALLEGO,05-06-2017,P.S.O.E.
2,Barrax,JOSEFA,NAVARRETE,PEREZ,13-06-2015,P.S.O.E.
2,Bienservida,MANUEL,SANCHEZ,RUIZ,13-06-2015,P.S.O.E.
2,Bogarra,JOSÉ LUIS,LÓPEZ,PEREZ,22-01-2018,C's
2,Bonete,ANGEL,NAVALON,GARCIA,13-06-2015,P.P.
2,"Bonillo, El",JUAN,GIL,GUTIERREZ,13-06-2015,P.S.O.E.
2,Carcelén,MARIA DOLORES,GOMEZ,PIQUERAS,13-06-2015,P.S.O.E.
2,Casas de Juan Núñez,ALONSO,CUTANDA,MORENO,13-06-2015,P.P.
2,Casas de Lázaro,MARIA EUGENIA,CUARTERO,GARRIDO,13-06-2015,AICL
2,Casas de Ves,ANTONIO FRANCISCO,VALIENTE,SANCHEZ,13-06-2015,P.P.
2,Casas-Ibáñez,CARMEN,NAVALON,PEREZ,13-06-2015,P.S.O.E.
2,Caudete,MOISES,LOPEZ,MARTINEZ,07-07-2017,P.P.
2,Cenizate,ENRIQUE,NAVARRO,CARRION,13-06-2015,P.S.O.E.
2,Corral-Rubio,ENCARNACION,GARCIA,PEÑARANDA,13-06-2015,P.S.O.E.
2,Cotillas,FRANCISCO,ZAMORA,LOPEZ,13-06-2015,P.S.O.E.
